setting,operator,mean_proposed,mean_candidate_rate,mean_accept_rate,mean_improve_rate,mean_new_global_best,mean_avg_accepted_delta
without_remove_reinsert_two,pair_relocate_best,1.2857142857142858,1.0,0.9793650793650793,0.6301587301587301,0.2857142857142857,-7.7828767109168915
without_remove_reinsert_two,relocate_best,1.2857142857142858,1.0,1.0,0.6611111111111111,0.25,-8.09391635756659
without_remove_reinsert_two,remove_reinsert_three,1.2142857142857142,1.0,1.0,0.4245614035087719,0.35714285714285715,-4.24510897691393
without_remove_reinsert_two,swap_restricted,1.5357142857142858,1.0,1.0,0.6908333333333333,0.4642857142857143,-8.025742307322343
without_remove_reinsert_two,swap_two_one,1.3214285714285714,1.0,0.9444444444444444,0.5,0.21428571428571427,2.1771845438281057
without_swap_restricted,ejection_chain_light,1.75,1.0,1.0,0.6444047619047619,0.35714285714285715,-10.357613116278046
without_swap_restricted,pair_relocate_best,2.142857142857143,1.0,0.9907407407407407,0.5490299823633157,0.42857142857142855,-3.325582087753308
without_swap_restricted,relocate_best,2.2857142857142856,1.0,1.0,0.6753367003367003,0.2857142857142857,-7.425526410276869
without_swap_restricted,remove_reinsert_three,1.8571428571428572,1.0,1.0,0.4988662131519274,0.5357142857142857,-7.663542475629604
without_swap_restricted,remove_reinsert_two,2.107142857142857,1.0,0.95,0.37363636363636366,0.25,-1.276461896050683
without_swap_restricted,swap_two_one,1.6785714285714286,1.0,0.9882352941176471,0.457563025210084,0.14285714285714285,0.8945360946777086
without_swap_two_one,ejection_chain_light,2.2142857142857144,1.0,0.9883540372670808,0.7012939958592131,0.5,-12.029809511315976
without_swap_two_one,pair_relocate_best,2.2857142857142856,1.0,1.0,0.4166666666666667,0.25,0.6021276659641311
without_swap_two_one,relocate_best,2.1785714285714284,1.0,1.0,0.6798552754435107,0.35714285714285715,-7.509703436289023
without_swap_two_one,remove_reinsert_three,2.5714285714285716,1.0,1.0,0.4289562289562289,0.32142857142857145,-8.14752480095265
without_swap_two_one,remove_reinsert_two,2.392857142857143,1.0,1.0,0.2158263305322129,0.14285714285714285,-2.2325644453684412
without_swap_two_one,swap_restricted,2.2142857142857144,1.0,0.9888888888888889,0.5673280423280423,0.32142857142857145,-6.798720594247625
