trial_number,initial_temp,cooling_rate,iterations_per_temp,construction_iterations,instance,seed,obj_val,gap_pct
6,25.721353630550453,0.9256989988470059,41,44,I,33,735.056,8.096
6,25.721353630550453,0.9256989988470059,41,44,K,11,915.509,6.952
6,25.721353630550453,0.9256989988470059,41,44,K,22,919.92,7.467
6,25.721353630550453,0.9256989988470059,41,44,K,33,926.23,8.204
7,44.26676387741283,0.9183941532871067,66,9,D,11,1006.19,6.588
7,44.26676387741283,0.9183941532871067,66,9,D,22,1006.19,6.588
7,44.26676387741283,0.9183941532871067,66,9,D,33,1011.86,7.189
7,44.26676387741283,0.9183941532871067,66,9,G,11,3373.355,6.147
7,44.26676387741283,0.9183941532871067,66,9,G,22,3438.401,8.194
7,44.26676387741283,0.9183941532871067,66,9,G,33,3614.048,13.721
7,44.26676387741283,0.9183941532871067,66,9,I,11,735.056,8.096
7,44.26676387741283,0.9183941532871067,66,9,I,22,757.593,11.411
7,44.26676387741283,0.9183941532871067,66,9,I,33,735.056,8.096
7,44.26676387741283,0.9183941532871067,66,9,K,11,924.607,8.015
7,44.26676387741283,0.9183941532871067,66,9,K,22,920.454,7.53
7,44.26676387741283,0.9183941532871067,66,9,K,33,918.93,7.352
8,87.8767720262886,0.9560347068715694,59,58,D,11,1006.19,6.588
8,87.8767720262886,0.9560347068715694,59,58,D,22,992.392,5.126
8,87.8767720262886,0.9560347068715694,59,58,D,33,989.073,4.775
8,87.8767720262886,0.9560347068715694,59,58,G,11,3521.821,10.819
8,87.8767720262886,0.9560347068715694,59,58,G,22,3516.675,10.657
8,87.8767720262886,0.9560347068715694,59,58,G,33,3529.572,11.063
8,87.8767720262886,0.9560347068715694,59,58,I,11,735.056,8.096
8,87.8767720262886,0.9560347068715694,59,58,I,22,735.056,8.096
8,87.8767720262886,0.9560347068715694,59,58,I,33,735.056,8.096
8,87.8767720262886,0.9560347068715694,59,58,K,11,937.304,9.498
8,87.8767720262886,0.9560347068715694,59,58,K,22,919.92,7.467
8,87.8767720262886,0.9560347068715694,59,58,K,33,936.69,9.426
9,27.26140593904213,0.9716606546746516,106,22,D,11,1006.19,6.588
