trial_number,perturbation_steps,construction_iterations,instance,seed,obj_val,gap_pct
17,7,57,D,33,1021.156,8.173
17,7,57,G,11,3521.821,10.819
17,7,57,G,22,3516.675,10.657
17,7,57,G,33,3529.572,11.063
17,7,57,I,11,739.689,8.778
17,7,57,I,22,746.882,9.836
17,7,57,I,33,735.056,8.096
17,7,57,K,11,955.863,11.666
17,7,57,K,22,959.225,12.059
17,7,57,K,33,954.944,11.559
18,6,95,D,11,992.334,5.12
18,6,95,D,22,1011.86,7.189
18,6,95,D,33,1021.156,8.173
18,6,95,G,11,3521.821,10.819
18,6,95,G,22,3516.675,10.657
18,6,95,G,33,3529.572,11.063
18,6,95,I,11,731.846,7.624
18,6,95,I,22,738.311,8.575
18,6,95,I,33,735.056,8.096
18,6,95,K,11,955.863,11.666
18,6,95,K,22,959.225,12.059
18,6,95,K,33,954.944,11.559
19,7,94,D,11,992.334,5.12
19,7,94,D,22,1011.86,7.189
19,7,94,D,33,1021.156,8.173
19,7,94,G,11,3521.821,10.819
19,7,94,G,22,3516.675,10.657
19,7,94,G,33,3529.572,11.063
19,7,94,I,11,731.846,7.624
19,7,94,I,22,738.311,8.575
19,7,94,I,33,735.056,8.096
19,7,94,K,11,955.863,11.666
19,7,94,K,22,959.225,12.059
19,7,94,K,33,954.944,11.559
20,6,92,D,11,992.334,5.12
20,6,92,D,22,1011.86,7.189
20,6,92,D,33,1021.156,8.173
20,6,92,G,11,3521.821,10.819
20,6,92,G,22,3516.675,10.657
20,6,92,G,33,3529.572,11.063
20,6,92,I,11,731.846,7.624
20,6,92,I,22,746.882,9.836
20,6,92,I,33,735.056,8.096
20,6,92,K,11,955.863,11.666
20,6,92,K,22,959.225,12.059
20,6,92,K,33,954.944,11.559
21,11,68,D,11,1054.127,11.666
21,11,68,D,22,1011.455,7.146
21,11,68,D,33,1021.156,8.173
21,11,68,G,11,3521.821,10.819
21,11,68,G,22,3516.675,10.657
21,11,68,G,33,3529.572,11.063
21,11,68,I,11,731.846,7.624
21,11,68,I,22,746.882,9.836
21,11,68,I,33,735.056,8.096
21,11,68,K,11,955.863,11.666
21,11,68,K,22,959.225,12.059
21,11,68,K,33,954.944,11.559
22,11,65,D,11,1054.127,11.666
22,11,65,D,22,1011.455,7.146
22,11,65,D,33,1021.156,8.173
22,11,65,G,11,3521.821,10.819
22,11,65,G,22,3516.675,10.657
22,11,65,G,33,3529.572,11.063
22,11,65,I,11,731.846,7.624
22,11,65,I,22,746.882,9.836
22,11,65,I,33,735.056,8.096
22,11,65,K,11,955.863,11.666
22,11,65,K,22,959.225,12.059
22,11,65,K,33,954.944,11.559
23,11,64,D,11,1054.127,11.666
23,11,64,D,22,1011.455,7.146
23,11,64,D,33,1021.156,8.173
23,11,64,G,11,3521.821,10.819
23,11,64,G,22,3516.675,10.657
23,11,64,G,33,3529.572,11.063
23,11,64,I,11,731.846,7.624
23,11,64,I,22,746.882,9.836
